1.5,2.5,4
2.0,1.8,2
1.6,2.0,4
2.2,2.8
2.5,3.0
3.0,2.0
3.5,3.5
3.8,2.8
4.0,3.0
4.2,4.0
4.5,4.5
5.0,3.8
5.5,4.0
6.0,5.0
6.5,5.5
6.8,5.2
7.0,5.8
7.2,6.0
7.5,6.5
8.0,6.8
8.5,7.0
8.8,7.2
9.0,7.5
9.2,8.0
9.5,8.5
10.0,8.8
10.5,9.0
10.8,9.2
11.0,9.5
11.2,10.0
11.5,10.5
12.0,10.8
12.5,11.0
12.8,11.2
13.0,11.5
13.2,12.0
13.5,12.5
14.0,12.8
14.5,13.0
14.8,13.2
15.0,13.5
15.2,14.0
15.5,14.5
16.0,14.8
16.5,15.0
16.8,15.2
17.0,15.5
17.2,16.0
17.5,16.5
18.0,16.8
18.5,17.0
18.8,17.2,5
19.0,17.5,4
19.2,18.0,8
19.5,18.5
20.0,18.8
20.5,19.0
20.8,19.2
21.0,19.5
21.2,20.0
21.5,20.5
22.0,20.8
22.5,21.0
22.8,21.2
23.0,21.5
23.2,22.0
23.5,22.5
24.0,22.8
24.5,23.0
24.8,23.2
25.0,23.5
